Date,Previous Settlement
2017-04-05,97.36
2017-04-04,97.36
2017-04-03,97.29
2017-04-01,97.27
2017-03-31,97.27
2017-03-30,97.275
2017-03-29,97.24
2017-03-28,97.255
2017-03-27,97.255
2017-03-25,97.21
2017-03-24,97.21
2017-03-23,97.22
2017-03-22,97.205
2017-03-21,97.15
2017-03-20,97.135
2017-03-18,97.095
2017-03-17,97.095
2017-03-16,97.14
2017-03-15,97.035
2017-03-14,97.0325
2017-03-13,97.0325
2017-03-11,96.9925
2017-03-10,96.9925
2017-03-09,97.04
2017-03-08,97.105
2017-03-07,97.15
2017-03-06,97.165
2017-03-03,97.165
2017-03-02,97.24
2017-03-01,97.24
2017-02-28,97.24
2017-02-27,97.24
2017-02-25,97.24
2017-02-24,97.24
2017-02-23,97.185
2017-02-22,97.135
2017-02-21,97.17
2017-02-20,97.18
2017-02-18,97.165
2017-02-17,97.165
2017-02-16,97.17
2017-02-15,97.23
2017-02-14,97.23
2017-02-13,97.265
2017-02-11,97.275
2017-02-10,97.275
2017-02-09,97.33
2017-02-08,97.275
2017-02-07,97.275
2017-02-06,97.205
2017-02-04,97.175
2017-02-03,97.175
2017-02-02,97.2
2017-02-01,97.235
2017-01-31,97.255
2017-01-30,97.245
2017-01-28,97.19
2017-01-27,97.19
2017-01-26,97.205
2017-01-25,97.24
2017-01-24,97.275
2017-01-23,97.21
2017-01-21,97.185
2017-01-20,97.185
2017-01-19,97.21
2017-01-18,97.285
2017-01-17,97.27
2017-01-16,97.27
2017-01-14,97.275
2017-01-13,97.275
2017-01-12,97.3
2017-01-11,97.235
2017-01-10,97.25
2017-01-09,97.2
2017-01-07,97.28
2017-01-06,97.28
2017-01-05,97.22
2017-01-04,97.17
2017-01-03,97.215
2017-01-02,97.2
2016-12-31,97.2
2016-12-30,97.2
2016-12-29,97.185
2016-12-28,97.11
2016-12-27,97.09
2016-12-26,97.09
2016-12-24,97.09
2016-12-23,97.09
2016-12-22,97.13
2016-12-21,97.14
2016-12-20,97.115
2016-12-19,97.1
2016-12-17,97.13
2016-12-16,97.13
2016-12-15,97.0925
2016-12-14,97.2275
2016-12-13,97.1975
2016-12-12,97.1675
2016-12-10,97.21
2016-12-09,97.21
2016-12-08,97.3
2016-12-07,97.235
2016-12-06,97.21
2016-12-05,97.24
2016-12-03,97.17
2016-12-02,97.17
2016-12-01,97.25
2016-11-30,97.31
2016-11-29,97.33
2016-11-28,97.34
2016-11-26,97.275
2016-11-25,97.275
2016-11-24,97.285
2016-11-23,97.335
2016-11-22,97.365
2016-11-21,97.35
2016-11-19,97.315
2016-11-18,97.315
2016-11-17,97.465
2016-11-16,97.39
2016-11-15,97.375
2016-11-14,97.375
2016-11-12,97.465
2016-11-11,97.465
2016-11-10,97.53
2016-11-09,97.81
2016-11-08,97.675
2016-11-07,97.68
2016-11-05,97.7
2016-11-04,97.7
2016-11-03,97.725
2016-11-02,97.68
2016-11-01,97.64
2016-10-29,97.645
2016-10-28,97.645
2016-10-27,97.69
2016-10-26,97.755
2016-10-25,97.745
2016-10-24,97.78
2016-10-22,97.735
2016-10-21,97.735
2016-10-20,97.735
2016-10-19,97.725
2016-10-18,97.69
2016-10-17,97.715
2016-10-15,97.76
2016-10-14,97.76
2016-10-13,97.78
2016-10-12,97.72
2016-10-11,97.78
2016-10-10,97.845
2016-10-08,97.86
2016-10-07,97.86
2016-10-06,97.87
2016-10-05,97.91
2016-10-04,97.97
2016-10-03,98.01
2016-10-01,98.085
2016-09-30,98.085
2016-09-29,98.02
2016-09-28,98.045
2016-09-27,98.02
2016-09-26,98.02
2016-09-24,97.995
2016-09-23,97.995
2016-09-22,97.955
2016-09-21,97.86
2016-09-20,97.875
2016-09-19,97.875
2016-09-17,97.885
2016-09-16,97.885
2016-09-15,97.8825
2016-09-14,97.88
2016-09-13,97.9125
2016-09-12,97.9325
2016-09-10,98.0175
2016-09-09,98.0175
2016-09-08,98.125
2016-09-07,98.16
2016-09-06,98.085
2016-09-05,98.095
2016-09-03,98.135
2016-09-02,98.135
2016-09-01,98.145
2016-08-31,98.165
2016-08-30,98.15
2016-08-29,98.11
2016-08-27,98.135
2016-08-26,98.135
2016-08-25,98.135
2016-08-24,98.15
2016-08-23,98.14
2016-08-22,98.085
2016-08-20,98.13
2016-08-19,98.13
2016-08-18,98.12
2016-08-17,98.085
2016-08-16,98.11
2016-08-15,98.115
2016-08-13,98.08
2016-08-12,98.08
2016-08-11,98.135
2016-08-10,98.12
2016-08-09,98.045
2016-08-08,98.03
2016-08-06,98.115
2016-08-05,98.115
2016-08-04,98.04
2016-08-03,98.055
2016-08-02,98.17
2016-08-01,98.145
2016-07-30,98.115
2016-07-29,98.115
2016-07-28,98.125
2016-07-27,98.035
2016-07-26,98.07
2016-07-25,98.075
2016-07-23,98.08
2016-07-22,98.08
2016-07-21,98.06
2016-07-20,98.065
2016-07-19,98.065
2016-07-18,97.995
2016-07-16,98.015
2016-07-15,98.015
